Index,symbol,company_Name,macro,sector,industry,basic_Industry, last_Price , total_Market_Cap , free_float
1523,SHARDAMOTR,Sharda Motor Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments," 1,337.00 "," 397,511.89 "," 107,328.21 "
389,DATAMATICS,Datamatics Global Services Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services, 681.95 ," 402,377.98 "," 132,784.73 "
965,LAOPALA,La Opala RG Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Glass - Consumer, 362.00 ," 401,820.00 "," 136,618.80 "
1135,MUTHOOTMF,Muthoot Microfin Limited,Financial Services,Financial Services,Finance,Microfinance Institutions, 231.00 ," 393,836.93 "," 55,137.17 "
398,DCBBANK,DCB Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank, 135.20 ," 422,335.92 "," 354,762.17 "
48,ADVENZYMES,Advanced Enzyme Technologies Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology, 372.90 ," 416,991.98 "," 166,796.79 "
568,GENSOL,Gensol Engineering Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment, 869.70 ," 322,329.35 "," 112,815.27 "
927,KIRLPNU,Kirloskar Pneumatic Company Limited,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines, 630.05 ," 407,991.96 "," 236,635.34 "
1058,MAXESTATES,Max Estates Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects, 285.00 ," 419,333.45 "," 209,666.73 "
688,HGS,Hinduja Global Solutions Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO), 963.00 ," 447,990.34 "," 143,356.91 "
649,GULFOILLUB,Gulf Oil Lubricants India Limited,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants, 773.50 ," 379,577.34 "," 102,485.88 "
871,JTLIND,JTL INDUSTRIES LIMITED,Industrials,Capital Goods,Industrial Products,Iron & Steel Products, 260.00 ," 443,646.11 "," 164,149.06 "
929,KKCL,Kewal Kiran Clothing Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels, 751.00 ," 462,805.14 "," 120,329.34 "
661,HATHWAY,Hathway Cable & Datacom Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production, 23.20 ," 410,664.24 "," 102,666.06 "
199,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar, 27.95 ," 357,022.10 "," 235,634.59 "
1757,TRIL,Transformers And Rectifiers (India) Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment, 371.00 ," 528,912.89 "," 158,673.87 "
17,AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 532.70 ," 482,764.74 "," 255,865.31 "
465,DYNAMATECH,Dynamatic Technologies Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products," 6,565.95 "," 445,922.75 "," 227,420.60 "
526,FEDFINA,Fedbank Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC), 131.25 ," 484,256.18 "," 77,480.99 "
805,IPL,India Pesticides Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals, 381.00 ," 438,772.97 "," 109,693.24 "
208,BALMLAWRIE,Balmer Lawrie & Company Limited,Diversified,Diversified,Diversified,Diversified, 257.95 ," 441,104.42 "," 167,619.68 "
15,AARTIDRUGS,Aarti Drugs Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 503.90 ," 463,260.47 "," 162,141.16 "
576,GHCL,GHCL Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals, 583.05 ," 558,118.70 "," 440,913.77 "
213,BANCOINDIA,Banco Products (I) Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments, 690.00 ," 493,478.69 "," 152,978.39 "
832,JAMNAAUTO,Jamna Auto Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments, 111.05 ," 442,938.34 "," 217,039.79 "
226,BBOX,Black Box Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services, 281.35 ," 472,399.62 "," 127,547.90 "
