Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
2431,TAYO ROLLS LTD.,INE895C01011,TATAYODOGA,92.56,,,,,92.56,Small Cap
2432,ATHENA GLOBAL TECHNOLOGIES LIMITED,INE576B01019,ATHENAGLO,92.54,,,,,92.54,Small Cap
2433,BHANDARI HOSIERY EXPORTS LTD.,INE474E01029,BHANDHOS,92.45,BHANDARI,92.5674,,,92.5087,Small Cap
2434,CINEVISTA LIMITED,INE039B01026,CINEVISTA,92.16,CINEVISTA,91.9609,,,92.06045,Small Cap
2435,ALKOSIGN LIMITED,INE0KA601012,ALKOSIGN,91.96,,,,,91.96,Small Cap
2436,SHALIMAR WIRES INDUSTRIES LTD.,INE655D01025,SHALIWIR,91.85,,,,,91.85,Small Cap
2437,CREATIVE CASTINGS LIMITED,INE146E01015,CREATIVE,91.79,,,,,91.79,Small Cap
2438,SECMARK CONSULTANCY LIMITED,INE0BTM01013,SECMARK,89.83,SECMARK,93.5948,,,91.7124,Small Cap
2439,INDIA STEEL WORKS LTD,INE072A01029,ISWL,91.54,,,,,91.54,Small Cap
2440,INDITRADE CAPITAL LIMITED,INE347H01012,INDICAP,91.41,,,,,91.41,Small Cap
2441,"KESAR ENTERPRISES LTD.,",INE133B01019,KESARENT,91.37,,,,,91.37,Small Cap
2442,MARSONS LIMITED,INE415B01044,MARSONS,91.37,,,,,91.37,Small Cap
2443,CELEBRITY FASHIONS LTD.,INE185H01016,CELEBRITY,91.13,CELEBRITY,91.127,,,91.1285,Small Cap
2444,BLS INFOTECH LIMITED,INE606B01022,BLSINFOTE,91.1,,,,,91.1,Small Cap
2445,FIBERWEB (INDIA) LTD.,INE296C01020,FIBERWEB,91.1,FIBERWEB,91.034,,,91.067,Small Cap
2446,TIRUPATI TYRES LTD.,INE812Q01016,TTIL,90.91,,,TIRUPATI,90.91405,90.912025,Small Cap
2447,LUDLOW JUTE & SPECIALITIES LTD,INE983C01015,LUDLOWJUT,90.78,,,,,90.78,Small Cap
2448,JEEVAN SCIENTIFIC TECHNOLOGY LIMITED,INE237B01018,JSTL,90.5,,,,,90.5,Small Cap
2449,ANG LIFESCIENCES INDIA LIMITED,INE236W01016,ANG,90.3,,,,,90.3,Small Cap
2450,BARAK VALLEY CEMENTS LIMITED,INE139I01011,BVCL,90.24,BVCL,90.1983,,,90.21915,Small Cap
2451,REGENCY CERAMICS LTD,INE277C01012,REGENCERAM,91.33,REGENCERAM,89.1049,,,90.21745,Small Cap
